epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1501.56,1.09402,0.55774,0.00285,0.95436,0.95847,0.9856,0.82044,0.70136,0.30395,0.00205,0.000333276,0.000333276,0.0670057
2,2929.72,0.86241,0.41079,0.00219,0.96195,0.9513,0.98831,0.86918,0.58323,0.26349,0.00166,0.00066001,0.00066001,0.0339991
3,4349.33,0.81087,0.37564,0.00204,0.96503,0.9684,0.99054,0.8925,0.51983,0.22883,0.00147,0.000980144,0.000980144,0.000985871
4,5767.8,0.74995,0.35894,0.00188,0.96601,0.9694,0.9913,0.89942,0.50689,0.2199,0.00144,0.0009703,0.0009703,0.0009703
5,7186.04,0.7268,0.34007,0.00181,0.96774,0.9722,0.99224,0.91223,0.46715,0.20435,0.00131,0.0009604,0.0009604,0.0009604
6,8605.6,0.70141,0.3272,0.00175,0.96938,0.96999,0.99202,0.91663,0.45886,0.19952,0.00129,0.0009505,0.0009505,0.0009505
7,10025.8,0.68467,0.31857,0.00171,0.96954,0.97507,0.99254,0.91675,0.46714,0.19532,0.00131,0.0009406,0.0009406,0.0009406
8,11593.2,0.66507,0.31122,0.00165,0.97395,0.9752,0.99278,0.92919,0.425,0.18218,0.00119,0.0009307,0.0009307,0.0009307
9,13384.8,0.64866,0.30445,0.00161,0.97472,0.9739,0.99288,0.92844,0.42873,0.18498,0.0012,0.0009208,0.0009208,0.0009208
10,15142.7,0.63482,0.29611,0.00157,0.97412,0.975,0.99296,0.93146,0.41375,0.18004,0.00115,0.0009109,0.0009109,0.0009109
11,16908.6,0.62947,0.28579,0.00155,0.97469,0.97782,0.99314,0.93718,0.40408,0.17197,0.00113,0.000901,0.000901,0.000901
12,18669.4,0.6181,0.28168,0.00153,0.97495,0.97533,0.99274,0.93807,0.39681,0.17526,0.0011,0.0008911,0.0008911,0.0008911
13,20434.5,0.61632,0.28129,0.00152,0.97453,0.97655,0.99306,0.94173,0.38799,0.17021,0.00108,0.0008812,0.0008812,0.0008812
14,22198,0.60751,0.28567,0.0015,0.9781,0.97384,0.99284,0.94135,0.38469,0.17081,0.00107,0.0008713,0.0008713,0.0008713
15,23950.9,0.60046,0.27414,0.00147,0.97697,0.97779,0.99318,0.94346,0.37929,0.16527,0.00105,0.0008614,0.0008614,0.0008614
16,25721.2,0.591,0.26412,0.00145,0.97845,0.97824,0.99329,0.94705,0.37144,0.16124,0.00103,0.0008515,0.0008515,0.0008515
17,27494.6,0.58384,0.26857,0.00142,0.98045,0.97611,0.99342,0.94961,0.36541,0.15761,0.00101,0.0008416,0.0008416,0.0008416
18,29256,0.57133,0.2622,0.0014,0.9776,0.97744,0.99331,0.94949,0.36124,0.15806,0.001,0.0008317,0.0008317,0.0008317
19,31017.3,0.56999,0.25268,0.0014,0.97916,0.97865,0.99342,0.95132,0.35757,0.15359,0.00098,0.0008218,0.0008218,0.0008218
20,32789.9,0.55939,0.2473,0.00137,0.98146,0.97806,0.99387,0.95266,0.35551,0.15037,0.00098,0.0008119,0.0008119,0.0008119
21,34544.8,0.56254,0.24998,0.00137,0.98047,0.98066,0.99382,0.95304,0.35089,0.14714,0.00097,0.000802,0.000802,0.000802
22,36310.4,0.56014,0.25282,0.00136,0.98218,0.97977,0.99379,0.95333,0.35108,0.14923,0.00097,0.0007921,0.0007921,0.0007921
23,38080.6,0.5441,0.24401,0.00133,0.98127,0.98171,0.99399,0.95499,0.34853,0.14599,0.00096,0.0007822,0.0007822,0.0007822
24,39832.1,0.54833,0.24566,0.00135,0.98239,0.97956,0.99392,0.95575,0.34286,0.14527,0.00094,0.0007723,0.0007723,0.0007723
25,41599.7,0.53902,0.23628,0.00132,0.98029,0.98107,0.99387,0.95605,0.34107,0.1444,0.00094,0.0007624,0.0007624,0.0007624
26,43374.5,0.5359,0.23619,0.0013,0.98345,0.97884,0.99381,0.95621,0.33947,0.1437,0.00093,0.0007525,0.0007525,0.0007525
27,45129,0.53483,0.23721,0.00129,0.98327,0.98034,0.99378,0.95714,0.33848,0.14202,0.00093,0.0007426,0.0007426,0.0007426
28,46957.8,0.52858,0.23172,0.00128,0.98664,0.97787,0.99391,0.9577,0.33501,0.14105,0.00092,0.0007327,0.0007327,0.0007327
29,48787.3,0.52593,0.23163,0.00127,0.9826,0.98203,0.9939,0.95794,0.33364,0.14131,0.00091,0.0007228,0.0007228,0.0007228
30,50615.9,0.51787,0.22884,0.00126,0.98289,0.98197,0.99378,0.95826,0.33212,0.14133,0.00091,0.0007129,0.0007129,0.0007129
31,52444.5,0.52263,0.23191,0.00127,0.98286,0.98182,0.99388,0.95907,0.3302,0.13971,0.00091,0.000703,0.000703,0.000703
32,54274.5,0.50902,0.22492,0.00123,0.98314,0.98307,0.99397,0.95996,0.32879,0.13798,0.0009,0.0006931,0.0006931,0.0006931
33,56103.7,0.51236,0.22578,0.00124,0.98232,0.98365,0.99404,0.96027,0.32756,0.13736,0.0009,0.0006832,0.0006832,0.0006832
34,57936.4,0.50374,0.21955,0.00122,0.98384,0.98307,0.99406,0.96061,0.32621,0.13633,0.00089,0.0006733,0.0006733,0.0006733
35,59766.1,0.50631,0.21872,0.00122,0.98637,0.97986,0.99407,0.96074,0.32502,0.13616,0.00089,0.0006634,0.0006634,0.0006634
36,61597.4,0.50108,0.21852,0.00121,0.98516,0.981,0.99407,0.96085,0.32491,0.13652,0.00089,0.0006535,0.0006535,0.0006535
37,63426.9,0.49687,0.2152,0.00121,0.98308,0.98331,0.99404,0.96101,0.32495,0.13644,0.00089,0.0006436,0.0006436,0.0006436
38,65257.3,0.49131,0.21655,0.00118,0.98448,0.9831,0.99404,0.96118,0.32425,0.13663,0.00089,0.0006337,0.0006337,0.0006337
39,67092,0.49318,0.21403,0.0012,0.98592,0.98171,0.99404,0.96138,0.32403,0.13705,0.00089,0.0006238,0.0006238,0.0006238
40,68829.5,0.49097,0.21286,0.00119,0.9834,0.98326,0.99407,0.96184,0.32291,0.13802,0.00088,0.0006139,0.0006139,0.0006139
41,69814.4,0.48762,0.21239,0.00117,0.9849,0.98268,0.99407,0.9621,0.32236,0.1388,0.00088,0.000604,0.000604,0.000604
42,70726.6,0.48199,0.20681,0.00116,0.98351,0.98333,0.99406,0.96223,0.32162,0.13995,0.00088,0.0005941,0.0005941,0.0005941
43,71643.7,0.48314,0.20818,0.00117,0.98333,0.98329,0.99406,0.9625,0.32094,0.1417,0.00088,0.0005842,0.0005842,0.0005842
44,72559.2,0.47398,0.20211,0.00114,0.98371,0.9832,0.99399,0.96244,0.32061,0.14291,0.00088,0.0005743,0.0005743,0.0005743
45,73478.6,0.47507,0.20521,0.00114,0.98511,0.98268,0.99397,0.96244,0.32013,0.14369,0.00088,0.0005644,0.0005644,0.0005644
46,74396.8,0.4685,0.20295,0.00112,0.98537,0.98236,0.99389,0.96209,0.31981,0.14532,0.00087,0.0005545,0.0005545,0.0005545
47,75313.1,0.46828,0.19903,0.00112,0.98545,0.98294,0.99381,0.96198,0.31946,0.1462,0.00087,0.0005446,0.0005446,0.0005446
48,76230.3,0.46738,0.20031,0.00112,0.98478,0.98294,0.9937,0.96122,0.3194,0.14612,0.00087,0.0005347,0.0005347,0.0005347
49,77146.1,0.4649,0.20034,0.00112,0.98257,0.9849,0.99355,0.96039,0.31909,0.1458,0.00087,0.0005248,0.0005248,0.0005248
50,78065.1,0.46134,0.19883,0.0011,0.98222,0.98566,0.99329,0.95921,0.31874,0.14455,0.00087,0.0005149,0.0005149,0.0005149
51,78980,0.45826,0.1996,0.0011,0.982,0.98561,0.99281,0.95756,0.31876,0.14411,0.00087,0.000505,0.000505,0.000505
52,79896.5,0.45843,0.19943,0.00109,0.97913,0.98638,0.99178,0.95498,0.31846,0.14441,0.00087,0.0004951,0.0004951,0.0004951
53,80811.7,0.45598,0.19463,0.00109,0.97837,0.98645,0.98979,0.95117,0.31795,0.14789,0.00087,0.0004852,0.0004852,0.0004852
54,81729.5,0.45448,0.20018,0.00109,0.97932,0.98343,0.98711,0.94677,0.31778,0.1679,0.00087,0.0004753,0.0004753,0.0004753
55,82646.8,0.45134,0.19677,0.00108,0.97805,0.9834,0.98472,0.94297,0.31735,0.22067,0.00087,0.0004654,0.0004654,0.0004654
56,83561.1,0.44678,0.19449,0.00107,0.97585,0.98327,0.98219,0.93951,0.31682,0.32459,0.00087,0.0004555,0.0004555,0.0004555
57,84479.3,0.44571,0.19002,0.00106,0.97674,0.98054,0.98024,0.93662,0.31616,0.51165,0.00086,0.0004456,0.0004456,0.0004456
58,85528.4,0.44065,0.18889,0.00105,0.96629,0.98939,0.97851,0.9341,0.3158,0.7673,0.00086,0.0004357,0.0004357,0.0004357
59,86445.7,0.44392,0.19251,0.00106,0.95517,0.99316,0.9755,0.93065,0.31505,1.07174,0.00086,0.0004258,0.0004258,0.0004258
60,87359.5,0.43817,0.18969,0.00105,0.96067,0.99069,0.97349,0.92759,0.31524,1.45065,0.00086,0.0004159,0.0004159,0.0004159
61,88272.5,0.43413,0.18388,0.00103,0.96488,0.98561,0.96854,0.92277,0.31435,1.87366,0.00086,0.000406,0.000406,0.000406
62,89187.7,0.43651,0.186,0.00104,0.96925,0.97461,0.9615,0.91606,0.31352,2.35566,0.00086,0.0003961,0.0003961,0.0003961
63,90101.2,0.4319,0.18326,0.00102,0.97188,0.91355,0.92983,0.88599,0.31315,2.8408,0.00086,0.0003862,0.0003862,0.0003862
