epoch,train/loss,val/loss,learning_rate,train/time,val/time,train/confmaps/head,train/confmaps/eyeL,train/confmaps/eyeR,train/confmaps/neck,train/confmaps/thorax,train/confmaps/abdomen,train/confmaps/forelegR1,train/confmaps/forelegR2,train/confmaps/forelegR3,train/confmaps/forelegR4,train/confmaps/midlegR1,train/confmaps/midlegR2,train/confmaps/midlegR3,train/confmaps/midlegR4,train/confmaps/hindlegR1,train/confmaps/hindlegR2,train/confmaps/hindlegR3,train/confmaps/hindlegR4,train/confmaps/forelegL1,train/confmaps/forelegL2,train/confmaps/forelegL3,train/confmaps/forelegL4,train/confmaps/midlegL1,train/confmaps/midlegL2,train/confmaps/midlegL3,train/confmaps/midlegL4,train/confmaps/hindlegL1,train/confmaps/hindlegL2,train/confmaps/hindlegL3,train/confmaps/hindlegL4,train/confmaps/wingL,train/confmaps/wingR
0,,0.010653946548700333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,0.002094824565574527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.0036558930296450853,0.0020420586224645376,9.999999747378752e-05,39.88869857788086,1.1479229927062988,0.0022202380932867527,0.0029395525343716145,0.0023215634282678366,0.0037432003300637007,0.0033390384633094072,0.0029219361022114754,0.002299315994605422,0.004262378439307213,0.007595509756356478,0.003138424828648567,0.00219226093031466,0.005864283069968224,0.0022825757041573524,0.0028211590833961964,0.004105322994291782,0.004014573059976101,0.0034384550526738167,0.00255570188164711,0.002354387193918228,0.0035213823430240154,0.005733691155910492,0.002780720591545105,0.0032996179070323706,0.005313307046890259,0.0023604913149029016,0.00446906965225935,0.004454413428902626,0.002587944967672229,0.007083819713443518,0.003977530635893345,0.004355394747108221,0.002641321625560522
2,0.002059276681393385,0.001988402334973216,9.999999747378752e-05,41.01105880737305,1.1944656372070312,0.0020628455094993114,0.002075614407658577,0.0020831418223679066,0.0019429005915299058,0.00178302894346416,0.0020492267794907093,0.001985073322430253,0.0021233377046883106,0.0020975559018552303,0.0021301060914993286,0.0019862500485032797,0.0020807369146496058,0.002060535131022334,0.0021140112075954676,0.0018993798876181245,0.0021010900381952524,0.002057660138234496,0.0021062386222183704,0.0019973788876086473,0.0020754230208694935,0.002088331151753664,0.002115070354193449,0.0020547076128423214,0.002142851473763585,0.0021284499671310186,0.0021245600655674934,0.001982583897188306,0.0020187892951071262,0.002056889934465289,0.0021061066072434187,0.0021600641775876284,0.00210691150277853
3,0.002018361585214734,0.001905155717395246,9.999999747378752e-05,51.005977630615234,1.5575127601623535,0.002027183072641492,0.002039843238890171,0.002045225352048874,0.0018727852730080485,0.001510551548562944,0.0019419449381530285,0.0019563117530196905,0.0020662862807512283,0.002067397814244032,0.002110834466293454,0.001968139549717307,0.0020682697650045156,0.002016638871282339,0.002122635953128338,0.0018597664311528206,0.002050869632512331,0.0020513797644525766,0.002102685160934925,0.0019885727670043707,0.0020422502420842648,0.002056876663118601,0.0021089380607008934,0.0020010224543511868,0.002091269474476576,0.002106744097545743,0.0021189514081925154,0.0018592242849990726,0.0019857927691191435,0.002031202893704176,0.0021111543755978346,0.0021219425834715366,0.0020848794374614954
4,0.0019525497918948531,0.0018112797988578677,9.999999747378752e-05,57.874568939208984,1.1830570697784424,0.0020080527756363153,0.001999487169086933,0.0020461042877286673,0.001710002077743411,0.001036868547089398,0.0019240948604419827,0.0018848791951313615,0.001983008347451687,0.0020580256823450327,0.0021025913301855326,0.0018425555899739265,0.001971112797036767,0.0019757342524826527,0.002118693897500634,0.0016654983628541231,0.0020255062263458967,0.002033557975664735,0.0020971691701561213,0.0019472881685942411,0.002016379265114665,0.0020181145519018173,0.00210122880525887,0.0019480877090245485,0.0019879343453794718,0.0020566065795719624,0.0021001589484512806,0.0015531068202108145,0.001947122160345316,0.001989388605579734,0.0021182652562856674,0.0021311859600245953,0.0020837802439928055
5,0.0018641047645360231,0.0016849283128976822,9.999999747378752e-05,40.024269104003906,1.161149501800537,0.00196794793009758,0.0018672689329832792,0.0019483361393213272,0.0015945275081321597,0.0006881234003230929,0.001899035065434873,0.0017314271535724401,0.0018312274478375912,0.0019353871466591954,0.0020525616127997637,0.0017444671830162406,0.0017226246418431401,0.0019460287876427174,0.0020939502865076065,0.0016569334547966719,0.0019458357710391283,0.0019444768549874425,0.0020857725758105516,0.0018241896759718657,0.0018761374522000551,0.0019234255887567997,0.0020987801253795624,0.0018767791334539652,0.0017838876228779554,0.0019087378168478608,0.0021032642107456923,0.0014741994673386216,0.0018644450465217233,0.0019209084566682577,0.002088543027639389,0.0021564073394984007,0.002095714909955859
6,0.0017729707760736346,0.0015184947988018394,9.999999747378752e-05,39.3294677734375,1.1337621212005615,0.001861901138909161,0.0017288883682340384,0.0014836955815553665,0.001475967699661851,0.0006051035015843809,0.0018357953522354364,0.0016519136261194944,0.001525297062471509,0.0017660621087998152,0.002009499818086624,0.0016415280988439918,0.001614603796042502,0.0018440927378833294,0.002094224328175187,0.0015653212321922183,0.0018636350287124515,0.0019015470752492547,0.0021054521203041077,0.0017049368470907211,0.0018052037339657545,0.0018632394494488835,0.0020787601824849844,0.0016492189606651664,0.0016231804620474577,0.001739447470754385,0.0020974683575332165,0.0014545245794579387,0.0018132642144337296,0.001968564698472619,0.002130106557160616,0.002153316978365183,0.0020793054718524218
7,0.0016161472303792834,0.0013690533814951777,9.999999747378752e-05,39.635169982910156,1.1632940769195557,0.0016035459702834487,0.001410023425705731,0.0008315170416608453,0.001129095209762454,0.0006095729768276215,0.001842738245613873,0.0014242783654481173,0.001031598774716258,0.0014937102096155286,0.0019454739522188902,0.0012886811746284366,0.0015809823526069522,0.0017965969163924456,0.0021261381916701794,0.001590264611877501,0.0018124226480722427,0.0019397058058530092,0.002123138401657343,0.001262847799807787,0.0015268499264493585,0.0016082919901236892,0.0019886684603989124,0.001189672970212996,0.0014044137205928564,0.0015858839033171535,0.002098197117447853,0.0014579633716493845,0.0017085374565795064,0.001911063794977963,0.002173041459172964,0.0021401988342404366,0.002081605838611722
8,0.0014332581777125597,0.0012281733797863126,9.999999747378752e-05,40.122859954833984,1.1452317237854004,0.0013734474778175354,0.0009582892525941133,0.0006585077499039471,0.0009170648991130292,0.0005627404898405075,0.0016427640803158283,0.0010666772723197937,0.000970973342191428,0.0013527252012863755,0.0019261696143075824,0.0008108827169053257,0.001377145410515368,0.001647692290134728,0.0021711813751608133,0.0015266294358298182,0.001565232640132308,0.0017697428120300174,0.0021204305812716484,0.0006448458880186081,0.0011754011502489448,0.0014026588760316372,0.0019358597928658128,0.0007760059088468552,0.001214377349242568,0.0013697822578251362,0.002116392133757472,0.0013029990950599313,0.0014559585833922029,0.0017354695592075586,0.0021323321852833033,0.0020950371399521828,0.0020888487342745066
9,0.0012906830525025725,0.0011582582956179976,9.999999747378752e-05,40.00580596923828,1.1329960823059082,0.001160015002824366,0.0006034770631231368,0.0005293821450322866,0.0007516511832363904,0.0004198549722786993,0.0013581163948401809,0.000793232349678874,0.0009372162749059498,0.0012475457042455673,0.0018518377328291535,0.0006896424456499517,0.00111255026422441,0.0012939813314005733,0.0020688665099442005,0.0013342943275347352,0.0014502605190500617,0.0016813126858323812,0.0021117592696100473,0.00047935318434610963,0.0009863401064649224,0.0012575758155435324,0.0018877084366977215,0.0006305680144578218,0.000947195861954242,0.0011710213730111718,0.0020443692337721586,0.001255693263374269,0.0013504639500752091,0.0017074859933927655,0.0020948201417922974,0.0020584766753017902,0.002035793149843812
10,0.0011953698704019189,0.0011090674670413136,9.999999747378752e-05,40.232242584228516,1.17313814163208,0.0009994942229241133,0.0005191881791688502,0.0004586807044688612,0.0006388284964486957,0.00038396523450501263,0.001166529837064445,0.0005639286828227341,0.0009104883065447211,0.0011395866749808192,0.0017537107923999429,0.0006202828953973949,0.0009186767274513841,0.0010307685006409883,0.0019916105084121227,0.0011320984922349453,0.0013471428537741303,0.001617282279767096,0.0020753592252731323,0.00042837561341002584,0.0009113215492106974,0.001140402047894895,0.0018266246188431978,0.0005459091626107693,0.0008202914032153785,0.001033986802212894,0.0019944573286920786,0.001198244746774435,0.0012818585382774472,0.0016904828371480107,0.0020815799944102764,0.002027470851317048,0.002003207802772522
11,0.0011390441795811057,0.001075777574442327,9.999999747378752e-05,40.545040130615234,1.164637804031372,0.000892514712177217,0.000500886351801455,0.00043505558278411627,0.000539926637429744,0.00035846675746142864,0.0010255628731101751,0.00043279712554067373,0.0008945863810367882,0.0010737983975559473,0.0016663940623402596,0.0005741953500546515,0.0008458039374090731,0.0009496387792751193,0.0019532707519829273,0.0010150072630494833,0.0012770658358931541,0.0015763259725645185,0.002045105444267392,0.00038725382182747126,0.0008727643871679902,0.0010841417824849486,0.0017839368665590882,0.0004897171747870743,0.0007901019998826087,0.0009710371377877891,0.001958101522177458,0.0011193528771400452,0.0012567208614200354,0.0016764079919084907,0.0020699200686067343,0.0019828518852591515,0.0019507039105519652
12,0.0011012464528903365,0.001079800189472735,9.999999747378752e-05,40.640464782714844,1.1969914436340332,0.0008082925924099982,0.0004977457574568689,0.0004297108971513808,0.00046724319690838456,0.00033501055440865457,0.0009029823122546077,0.0003614942543208599,0.0008832603343762457,0.0010453740833327174,0.001581676653586328,0.0005309863481670618,0.0008155071991495788,0.0009012303198687732,0.0019284168956801295,0.0009320208337157965,0.0012348380405455828,0.0015605143271386623,0.0020239860750734806,0.00035948853474110365,0.000854400685057044,0.0010500416392460465,0.0017426401609554887,0.00047042733058333397,0.0007868859102018178,0.0009521002066321671,0.001926784636452794,0.0010360584128648043,0.001242482685483992,0.0016669247997924685,0.0020609027706086636,0.001941265887580812,0.001909187762066722
13,0.0010647273156791925,0.001013150904327631,9.999999747378752e-05,40.95511245727539,1.121333122253418,0.0007249827613122761,0.000500108057167381,0.0004357018042355776,0.0004093660390935838,0.00031004499760456383,0.0007976446067914367,0.0003252747992519289,0.0008593861712142825,0.001020493684336543,0.0014754132134839892,0.0004999845405109227,0.0007873132126405835,0.0008627280476503074,0.0018853914225474,0.0008334111189469695,0.0011940608965232968,0.0015502135502174497,0.0020064297132194042,0.0003381123533472419,0.0008428741712123156,0.0010351957753300667,0.0016910471022129059,0.00045142287854105234,0.0007795424899086356,0.0009231659932993352,0.00188368558883667,0.0009542739135213196,0.0012264213291928172,0.0016516217729076743,0.00205400912091136,0.0018992286641150713,0.0018627217505127192
