frame_index,source_frame_idx,frame_mean_pixel_error,frame_point_count
0,9154,0.0,15
1,9155,0.0,15
2,9156,0.0,15
3,9157,0.0,15
4,9158,0.0,15
5,9159,0.0,15
6,9160,0.0,10
7,9161,0.0,15
8,9162,0.0,15
9,9163,0.0,15
10,9164,0.0,15
11,9165,0.0,15
12,9166,0.0,15
13,9167,0.0,15
14,9168,0.0,15
15,9169,0.0,15
16,9170,0.0,15
17,9171,0.0,15
18,9172,0.0,15
19,9173,0.0,10
20,9174,0.0,15
21,9175,0.0,15
22,9176,0.0,15
23,9177,0.0,10
24,9178,0.0,10
25,9179,0.0,10
26,9180,0.0,15
27,9181,0.0,15
28,9182,0.0,15
29,9183,0.0,15
30,9184,0.0,15
31,9185,0.0,15
32,9186,0.0,15
33,9187,0.0,15
34,9188,0.0,15
35,9189,0.0,15
36,9190,0.0,15
37,9191,0.0,10
38,9192,0.0,15
39,9193,0.0,15
40,9194,0.0,15
41,9195,0.0,10
42,9196,0.0,15
43,9197,0.0,15
44,9198,0.0,15
45,9199,0.0,10
46,9200,0.0,15
47,9201,0.0,15
48,9202,0.0,15
49,9203,0.0,15
50,9204,0.0,15
51,9205,0.0,15
52,9206,0.0,15
53,9207,0.0,15
54,9208,0.0,15
55,9209,0.0,15
56,9210,0.0,15
57,9211,0.0,15
58,9212,0.0,5
59,9213,0.0,15
60,9214,0.0,15
61,9215,0.0,15
62,9216,0.0,10
63,9217,0.0,15
64,9218,0.0,15
65,9219,0.0,15
66,9220,0.0,15
67,9221,0.0,15
68,9222,0.0,15
69,9223,0.0,10
70,9224,0.0,10
71,9225,0.0,15
72,9226,0.0,15
73,9227,0.0,15
74,9228,0.0,10
75,9229,0.0,10
76,9230,0.0,15
77,9231,0.0,10
78,9232,0.0,10
79,9233,0.0,10
80,9234,0.0,14
81,9235,0.0,15
82,9236,0.0,10
83,9237,0.0,10
84,9238,0.0,13
85,9239,0.0,15
86,9240,0.0,15
87,9241,0.0,15
88,9242,0.0,5
89,9243,0.0,15
90,9244,0.0,14
91,9245,0.0,15
92,9246,0.0,5
93,9247,0.0,15
94,9248,0.0,15
95,9249,0.0,15
96,9250,0.0,15
97,9251,0.0,15
98,9252,0.0,15
99,9253,0.0,15
100,9254,0.0,15
101,9255,0.0,15
102,9256,0.0,15
103,9257,0.0,15
104,9258,0.0,15
105,9259,0.0,15
106,9260,0.0,15
107,9261,0.0,15
108,9262,0.0,15
109,9263,0.0,15
110,9264,0.0,15
111,9265,0.0,15
112,9266,0.0,15
113,9267,0.0,15
114,9268,0.0,15
115,9269,0.0,15
116,9270,0.0,15
117,9271,0.0,15
118,9272,0.0,15
119,9273,0.0,15
120,9274,0.0,10
121,9275,0.0,15
122,9276,0.0,15
123,9277,0.0,15
124,9278,0.0,15
125,9279,0.0,15
126,9280,0.0,15
127,9281,0.0,15
128,9282,0.0,15
129,9283,0.0,15
130,9284,0.0,15
131,9285,0.0,15
132,9286,0.0,15
133,9287,0.0,15
134,9288,0.0,15
135,9289,0.0,15
136,9290,0.0,15
137,9291,0.0,15
138,9292,0.0,15
139,9293,0.0,15
140,9294,0.0,15
141,9295,0.0,15
142,9296,0.0,15
143,9297,0.0,15
144,9298,0.0,15
145,9299,0.0,15
146,9300,0.0,15
147,9301,0.0,15
148,9302,0.0,15
149,9303,0.0,15
150,9304,6.78281882008197,15
151,9305,0.0,15
152,9306,0.0,15
153,9307,0.0,15
154,9308,0.0,15
155,9309,0.0,15
156,9310,0.0,15
157,9311,0.0,15
158,9312,0.0,15
159,9313,0.0,15
160,9314,0.0,15
161,9315,0.0,15
162,9316,0.0,15
163,9317,0.0,15
164,9318,0.0,15
165,9319,0.0,15
166,9320,0.0,15
167,9321,0.0,15
168,9322,0.0,15
169,9323,0.0,10
170,9324,0.0,15
171,9325,0.0,15
172,9326,0.0,15
173,9327,0.0,15
174,9328,0.0,15
175,9329,0.0,15
176,9330,0.0,15
177,9331,0.0,10
178,9332,0.0,10
179,9333,0.0,15
180,9334,0.0,15
181,9335,0.0,15
182,9336,0.0,10
183,9337,0.0,15
184,9338,0.0,15
185,9339,0.0,15
186,9340,0.0,15
187,9341,0.0,10
188,9342,0.0,15
189,9343,0.0,15
190,9344,0.0,15
191,9345,0.0,15
192,9346,0.0,15
193,9347,0.0,15
194,9348,0.0,15
195,9349,0.0,15
196,9350,0.0,15
197,9351,0.0,15
198,9352,0.0,15
199,9353,0.0,15
200,9354,0.0,15
201,9355,0.0,15
202,9356,0.0,15
203,9357,0.0,15
204,9358,0.0,15
205,9359,0.0,15
206,9360,0.0,15
207,9361,0.0,15
208,9362,0.0,15
209,9363,0.0,15
210,9364,0.0,15
211,9365,0.0,15
212,9366,0.0,15
213,9367,0.0,15
214,9368,0.0,15
215,9369,0.0,15
216,9370,0.0,15
217,9371,0.0,15
218,9372,0.0,15
219,9373,0.0,15
220,9374,0.0,15
221,9375,0.0,15
222,9376,0.0,15
223,9377,0.0,15
224,9378,0.0,15
225,9379,0.0,15
226,9380,0.0,10
227,9381,0.0,15
228,9382,0.0,15
229,9383,0.0,15
230,9384,0.0,15
231,9385,0.0,15
232,9386,0.0,15
233,9387,0.0,15
234,9388,0.0,15
235,9389,0.0,15
236,9390,0.0,15
237,9391,0.0,15
238,9392,0.0,15
239,9393,0.0,10
240,9394,0.0,10
241,9395,0.0,15
242,9396,0.0,15
243,9397,0.0,10
244,9398,0.0,15
245,9399,0.0,15
246,9400,0.0,15
247,9401,0.0,15
248,9402,0.0,15
249,9403,0.0,15
250,9404,0.0,15
251,9405,0.0,15
252,9406,0.0,10
253,9407,0.0,15
254,9408,6.318596728917266,15
255,9409,0.0,15
256,9410,0.0,15
257,9411,0.0,15
258,9412,0.0,15
259,9413,0.0,15
260,9414,0.0,15
261,9415,0.0,15
262,9416,0.0,15
263,9417,0.0,15
264,9418,0.0,15
265,9419,0.0,15
266,9420,0.0,15
267,9421,0.0,15
268,9422,0.0,15
269,9423,0.0,15
270,9424,0.0,15
271,9425,0.0,15
272,9426,0.0,15
273,9427,0.0,15
274,9428,0.0,15
275,9429,0.0,15
276,9430,0.0,15
